ID,Modello,Targa,Tipo veicolo
3621540,,,Autovettura privata
3621540,,,Autovettura privata
3621540,,,Autovettura privata
3621622,,,Autovettura privata
3621622,,,Autovettura privata
3621622,,,Autovettura privata
3621622,,,Autovettura privata
3621640,,,Autovettura privata
3621640,,,Autovettura privata
3621646,,,Autovettura privata
3621646,,,Autovettura privata
3621646,,,Autovettura privata
3621750,,,Autovettura privata
3621750,,,Autovettura privata
3621750,,,Autovettura privata
3621750,,,Autovettura pubblica
3621850,,,Autovettura privata
3622030,,,Autovettura privata
3622030,,,Autovettura privata
3622030,,,Autovettura privata
3622032,,,Autovettura privata
3622032,,,Autovettura privata
3622032,,,Autovettura privata
3622032,,,Autovettura privata
3622033,,,Autovettura privata
3622033,,,Autovettura privata
3622033,,,Autovettura privata
3622033,,,Autovettura privata
3622269,,,Autovettura privata
3622269,,,Autovettura privata
3622279,,,Autovettura privata
3622279,,,Autovettura privata
3622293,,,Autovettura privata
3622293,,,Autovettura privata
3622293,,,Autovettura privata
3622293,,,Autovettura privata
3622299,,,Autovettura privata
3622302,,,Autovettura privata
3622303,,,Autovettura privata
3622303,,,Autovettura privata
3622308,,,Autovettura di polizia
3622308,,,Autovettura di polizia
3622308,,,Autovettura privata
3622308,,,Autovettura privata
3622312,,,Autovettura privata
3622312,,,Autovettura privata
3622313,,,Autovettura privata
3622313,,,Autovettura privata
3622313,,,Autovettura privata
3622328,,,Autovettura privata
3622329,,,Autovettura privata
3622329,,,Autovettura privata
3622336,,,Autovettura privata
3622336,,,Autovettura privata
3622354,,,Quadriciclo leggero
3622354,,,Quadriciclo leggero
3622354,,,Autovettura privata
3622358,,,Autovettura privata
3622358,,,Autovettura privata
3622361,,,Autovettura privata
3622366,,,Autovettura privata
3622369,,,Autovettura privata
3622369,,,Autovettura privata
3622388,,,Autovettura privata
3622388,,,Autovettura privata
3622388,,,Autovettura privata
3622388,,,Autovettura privata
3622407,,,Autovettura privata
3622429,,,Autovettura privata
3622430,,,
3622430,,,Autovettura privata
3622430,,,Autovettura privata
3622438,,,Autovettura privata
3622438,,,Autovettura privata
3622438,,,Autovettura privata
3622444,,,Autovettura privata
3622444,,,Autovettura privata
3622444,,,Autovettura privata
3622462,,,Autovettura privata
3622462,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622467,,,Autovettura privata
3622479,,,
3622479,,,Autovettura privata
3622487,,,Autovettura privata
3622495,,,Autovettura privata
3622495,,,Motociclo a solo
3622495,,,Motociclo a solo
